,address,Total,First Ticket Date,Last Ticket Date,Days,Daily Avg,Lat,Lng,zipcode,Traffic Loc Found,Radius,Traffic Address,Date_count,Total Volume,Vol by Direction,Ticket per 1000 AADT
108,2400 W 79TH ST,1045,4/17/2014,4/27/2018,1472,0.709918478,41.7501598,-87.68292860000003,60652.0,18.0,2000.0,2830 West 79th Street,2006-03-28T08:00:00.000Z,33300.0,East Bound: 20600 / West Bound: 12700,0.042637746426426426
109,2400 W ADDISON,2624,3/1/2014,4/27/2018,1519,1.727452271,41.9467392,-87.6883363,60618.0,3.0,500.0,2458 West Addison St,2006-08-14T07:00:00.000Z,27000.0,East Bound: 12100 / West Bound: 14900,0.12795942748148148
110,2400 W CERMAK ROAD,2105,3/1/2014,4/26/2018,1518,1.3866930169999998,41.852176299999996,-87.6858855,60608.0,2.0,500.0,2235 West Cermak Rd,2006-03-30T08:00:00.000Z,13700.0,East Bound: 7500 / West Bound: 6200,0.20243693678832114
111,2400 W CHICAGO AVE,2975,3/1/2014,4/27/2018,1519,1.958525346,41.895737700000005,-87.68690989999997,60622.0,9.0,1000.0,2650 West Chicago Ave,2006-10-18T07:00:00.000Z,18800.0,East Bound: 8900 / West Bound: 9900,0.20835376021276597
112,2400 W DIVERSEY AVENUE,1167,3/3/2014,4/27/2018,1517,0.769281477,41.9322859,-87.6882167,60647.0,33.0,2000.0,1425 West Diversey Ave,2006-08-10T07:00:00.000Z,21700.0,East Bound: 10400 / West Bound: 11300,0.07090151861751152
113,2400 W FOSTER AVE,7685,3/29/2014,4/27/2018,1491,5.154258887,41.97589,-87.6892146,60625.0,6.0,1000.0,2671 West Foster Ave,2006-08-15T07:00:00.000Z,23700.0,East Bound: 11200 / West Bound: 12500,0.43495855586497895
114,2400 W LAWRENCE AVENUE,3882,3/1/2014,4/27/2018,1519,2.555628703,41.968607399999996,-87.6889733,60625.0,3.0,500.0,2315 West Lawrence Ave,2006-08-23T07:00:00.000Z,26700.0,East Bound: 14500 / West Bound: 12200,0.19143286164794007
115,2400 W MADISON,2684,3/1/2014,4/25/2018,1517,1.7692814769999998,41.8813635,-87.68668609999999,60612.0,9.0,500.0,2335 West Madison St,2006-10-12T07:00:00.000Z,13200.0,East Bound: 5100 / West Bound: 8100,0.268072951060606
116,2400 W MARQUETTE ROAD,3980,3/1/2014,4/27/2018,1519,2.620144832,41.7719709,-87.6835069,60629.0,3.0,500.0,2509 West Marquette Rd,2006-03-28T08:00:00.000Z,14900.0,East Bound: 7300 / West Bound: 7600,0.351697292885906
117,2400 W MONTROSE AVENUE,1726,3/15/2014,4/26/2018,1504,1.147606383,41.961335399999996,-87.6887765,60625.0,4.0,500.0,2249 West Montrose Ave,2006-11-14T08:00:00.000Z,16400.0,East Bound: 8000 / West Bound: 8400,0.13995199792682927
118,2400 W NORTH AVE,3095,3/1/2014,4/27/2018,1519,2.037524687,41.9106774,-87.6875416,60647.0,32.0,2000.0,3335 West North Ave,2006-10-16T07:00:00.000Z,38600.0,East Bound: 18100 / West Bound: 20500,0.10557122730569947
119,2400 W PERSHING ROAD,4577,3/1/2014,5/31/2017,1188,3.852693603,41.8229821,-87.68424940000001,60609.0,3.0,500.0,2535 West Pershing Rd,2006-09-26T07:00:00.000Z,12300.0,East Bound: 6000 / West Bound: 6300,0.626454244390244
120,2400 W PETERSON,9284,4/2/2014,4/27/2018,1487,6.2434431739999985,41.9905554,-87.6902817,60659.0,3.0,500.0,2314 West Peterson Ave,2006-08-22T07:00:00.000Z,44000.0,East Bound: 22900 / West Bound: 21100,0.28379287154545446
121,2400 W VAN BUREN STREET,13245,3/1/2014,4/27/2018,1519,8.719552337,41.876088,-87.68637170000002,60612.0,207.0,4000.0,462 West Van Buren St,2006-09-20T07:00:00.000Z,10200.0,West Bound: 10200/ Oneway West Bound ,1.709716144509804
122,2416 S BLUE ISLAND AV,1369,3/2/2014,3/5/2015,369,3.7100271,41.8487412,-87.6763239,60608.0,7.0,500.0,2444 South Blue Island Ave,2006-08-17T07:00:00.000Z,22100.0,East Bound: 10300 / West Bound: 11800,0.3357490588235294
123,2416 S DAMEN AVENUE,1613,3/1/2014,3/5/2015,370,4.359459459,41.8480533,-87.67611649999998,60608.0,7.0,500.0,2235 South Damen Ave,2006-08-17T07:00:00.000Z,24000.0,North Bound: 12900 / South Bound: 11100,0.36328828825000004
124,2416 W 103RD ST,4215,11/30/2014,4/27/2018,1245,3.385542169,41.706599100000005,-87.68244840000001,60655.0,2.0,500.0,2209 West 103rd St,2006-08-22T07:00:00.000Z,19000.0,East Bound: 9300 / West Bound: 9700,0.3563728598947368
125,2417 W 103RD ST,1818,11/30/2014,4/23/2018,1241,1.464947623,41.706052899999996,-87.6825805,60655.0,2.0,500.0,2501 West 103rd St,2006-08-24T07:00:00.000Z,23600.0,East Bound: 12100 / West Bound: 11500,0.12414810364406781
126,2426 N DAMEN AVE,1839,8/14/2017,4/27/2018,257,7.155642023,41.925641600000006,-87.6779387,60647.0,6.0,1000.0,2123 North Damen Ave,2006-10-26T07:00:00.000Z,22100.0,North Bound: 12400 / South Bound: 9700,0.647569413846154
127,2432 N ASHLAND,12033,3/10/2014,4/27/2018,1510,7.968874172,41.926177200000005,-87.66854959999998,60614.0,3.0,500.0,2435 North Ashland Ave,2006-08-29T07:00:00.000Z,40200.0,North Bound: 19800 / South Bound: 20400,0.39646140159203974
128,2440 W 51ST ST,2484,4/9/2014,4/27/2018,1480,1.678378378,41.8012482,-87.6856734,60632.0,2.0,500.0,2531 West 51st St,2007-01-09T08:00:00.000Z,20200.0,East Bound: 10300 / West Bound: 9900,0.16617607702970297
129,2443 N ASHLAND,62851,3/10/2014,4/27/2018,1510,41.62317881,41.9264599,-87.6678397,60614.0,3.0,500.0,2435 North Ashland Ave,2006-08-29T07:00:00.000Z,40200.0,North Bound: 19800 / South Bound: 20400,2.070804915920398
130,2445 W 51ST ST,1291,4/9/2014,4/27/2018,1480,0.872297297,41.80086800000001,-87.686154,60632.0,2.0,500.0,2531 West 51st St,2007-01-09T08:00:00.000Z,20200.0,East Bound: 10300 / West Bound: 9900,0.08636606900990099
131,2448 N CLYBOURN AVE,20421,5/11/2014,4/27/2018,1448,14.10290055,41.926143100000004,-87.6709113,60614.0,3.0,500.0,2620 North Clybourn Ave,2006-10-23T07:00:00.000Z,17300.0,North Bound: 9100 / South Bound: 8200,1.63039312716763
132,2513 W 55TH,26942,3/3/2014,4/27/2018,1517,17.76005274,41.793519399999994,-87.68737709999998,60629.0,98.0,4000.0,944 West 55th Street,2006-04-27T07:00:00.000Z,33800.0,East Bound: 16800 / West Bound: 17000,1.0508906946745562
133,2549 W ADDISON,55126,3/17/2014,4/27/2018,1503,36.67731204,41.9467155,-87.69200140000001,60618.0,2.0,500.0,2458 West Addison St,2006-08-14T07:00:00.000Z,27000.0,East Bound: 12100 / West Bound: 14900,2.716837928888889
134,2550 W 79TH,6988,3/6/2014,4/27/2018,1514,4.615587847,41.7507576,-87.6874895,60652.0,2.0,1000.0,2830 West 79th Street,2006-03-28T08:00:00.000Z,33300.0,East Bound: 20600 / West Bound: 12700,0.2772124833033033
135,2600 S KEDZIE AVENUE,5774,3/1/2014,4/27/2018,1519,3.80118499,41.844477399999995,-87.7050747,60623.0,5.0,1000.0,3001 South Kedzie Ave,2006-08-10T07:00:00.000Z,25400.0,North Bound: 12500 / South Bound: 12900,0.2993059047244095
136,2603 W 79TH,6233,3/3/2014,4/27/2018,1517,4.108767304,41.749752,-87.68790600000001,60652.0,2.0,1000.0,2830 West 79th Street,2006-03-28T08:00:00.000Z,33300.0,East Bound: 20600 / West Bound: 12700,0.24677281105105106
137,2705 W IRVING PARK,141750,3/1/2014,4/27/2018,1519,93.31797235,41.95391130000001,-87.69574740000002,60618.0,2.0,500.0,2432 West Irving Park Rd,2006-08-30T07:00:00.000Z,42100.0,East Bound: 22300 / West Bound: 19800,4.4331578313539195
138,2712 W IRVING PARK,39464,3/1/2014,4/27/2018,1519,25.98025016,41.9540511,-87.6952531,60618.0,2.0,500.0,2432 West Irving Park Rd,2006-08-30T07:00:00.000Z,42100.0,East Bound: 22300 / West Bound: 19800,1.2342161596199523
139,2721 W MONTROSE,3635,3/1/2014,4/27/2018,1519,2.393021725,41.9612614,-87.69734419999997,60618.0,4.0,1000.0,2249 West Montrose Ave,2006-11-14T08:00:00.000Z,16400.0,East Bound: 8000 / West Bound: 8400,0.2918319176829268
140,2800 N ASHLAND AVENUE,3736,3/1/2014,3/5/2015,370,10.0972973,41.9326009,-87.6687858,60657.0,4.0,500.0,2855 North Ashland Ave,2006-08-29T07:00:00.000Z,37400.0,North Bound: 19300 / South Bound: 18100,0.539962422459893
141,2800 N CALIFORNIA AVE,7237,3/1/2014,4/27/2018,1519,4.764318631,41.925024900000004,-87.6977898,60618.0,8.0,1000.0,2027 North California Ave,2006-10-09T07:00:00.000Z,16100.0,North Bound: 8600 / South Bound: 7500,0.5918408237267081
142,2800 N CENTRAL AVENUE,1279,3/6/2014,4/27/2018,1514,0.8447820340000001,41.931271200000005,-87.76624819999998,60634.0,10.0,1000.0,2366 North Central Ave,2006-10-26T07:00:00.000Z,20000.0,North Bound: 9500 / South Bound: 10500,0.08447820340000001
143,2800 N CICERO AVENUE,4590,3/1/2014,4/27/2018,1519,3.021724819,41.931773,-87.747023,60641.0,2.0,500.0,2845 North Cicero Ave,2006-10-11T07:00:00.000Z,44000.0,North Bound: 22100 / South Bound: 21900,0.13735112813636366
144,2800 N DAMEN AVENUE,6479,3/1/2014,4/27/2018,1519,4.265306122,41.932289600000004,-87.67815089999998,60618.0,6.0,1000.0,3137 North Damen Ave,2006-08-16T07:00:00.000Z,19200.0,North Bound: 10100 / South Bound: 9100,0.4443027210416667
145,2800 N KIMBALL AVENUE,3967,3/1/2014,4/27/2018,1519,2.61158657,41.9321192,-87.7126485,60647.0,4.0,500.0,2609 North Kimball Ave,2006-10-09T07:00:00.000Z,16100.0,North Bound: 7900 / South Bound: 8200,0.32442069192546585
146,2800 N PULASKI ROAD,3978,3/10/2014,4/27/2018,1510,2.634437086,41.9317869,-87.72696239999998,60641.0,3.0,500.0,2827 North Pulaski Rd,2006-11-20T08:00:00.000Z,23900.0,North Bound: 11400 / South Bound: 12500,0.22045498627615065
147,2800 N WESTERN AVENUE,4094,3/7/2014,4/27/2018,1513,2.705882353,41.9328671,-87.68818089999998,60618.0,3.0,1000.0,3260 North Western Ave (over pass),2006-10-24T07:00:00.000Z,32100.0,North Bound: 15700 / South Bound: 16400,0.16859080080996883
148,2800 W 31ST,377,3/2/2014,3/5/2015,369,1.021680217,41.837412,-87.69506899999998,60608.0,4.0,500.0,2825 West 31st St,2006-09-14T07:00:00.000Z,17700.0,East Bound: 8800 / West Bound: 8900,0.11544409231638417
149,2800 W DEVON AVENUE,3207,3/1/2014,4/27/2018,1519,2.111257406,41.99773629999999,-87.6998953,60659.0,12.0,2000.0,2307 West Devon Ave,2006-08-30T07:00:00.000Z,22200.0,East Bound: 10200 / West Bound: 12000,0.1902033699099099
150,2800 W DIVERSEY,39303,3/1/2014,4/27/2018,1519,25.87425938,41.932291299999996,-87.69799379999998,60647.0,5.0,1000.0,3120 West Diversey Ave,2006-08-10T07:00:00.000Z,18500.0,East Bound: 8800 / West Bound: 9700,2.7972172302702707
151,2800 W IRVING PARK ROA,14270,3/1/2014,4/27/2018,1519,9.394338381,41.9542311,-87.698709,60618.0,5.0,1000.0,2432 West Irving Park Rd,2006-08-30T07:00:00.000Z,42100.0,East Bound: 22300 / West Bound: 19800,0.4462868589548694
152,2800 W PETERSON AVENUE,5206,3/1/2014,4/27/2018,1519,3.427254773,41.99067,-87.699733,60659.0,5.0,1000.0,2314 West Peterson Ave,2006-08-22T07:00:00.000Z,44000.0,East Bound: 22900 / West Bound: 21100,0.15578430786363637
153,OGDEN and SACRAMENTO,179533,3/1/2014,4/27/2018,1519,118.19157340000002,41.859124200000004,-87.7015713,60608.0,8.0,1000.0,1142 South Sacramento Ave,2006-10-10T07:00:00.000Z,20000.0,North Bound: 10400 / South Bound: 9600,11.819157340000002
154,2912 W ROOSEVELT,33582,3/1/2014,4/27/2018,1519,22.10796577,41.866777,-87.698959,60612.0,2.0,500.0,2700 West Roosevelt Rd,2006-10-19T07:00:00.000Z,18300.0,East Bound: 8200 / West Bound: 10100,2.416171122404372
155,2917 W ROOSEVELT,56256,3/1/2014,4/27/2018,1519,37.03489138,41.866484,-87.69903670000001,60612.0,2.0,500.0,2700 West Roosevelt Rd,2006-10-19T07:00:00.000Z,18300.0,East Bound: 8200 / West Bound: 10100,4.047529112568306
156,2928 S HALSTED,9777,3/3/2014,4/27/2018,1517,6.444957152000001,41.8406579,-87.64703409999998,60608.0,6.0,1000.0,3210 South Halsted St,2006-10-26T07:00:00.000Z,17600.0,North Bound: 9200 / South Bound: 8400,0.7323814945454546
157,30 W 87TH STREET,26995,3/1/2014,4/27/2018,1519,17.77156024,41.736281899999994,-87.626254,60620.0,2.0,500.0,282 West 87th Street,2006-03-28T08:00:00.000Z,15800.0,East Bound: 7900 / West Bound: 7900,2.249564587341772
158,300 N HAMLIN AVENUE,10841,3/1/2014,4/27/2018,1519,7.136932192000001,41.885422999999996,-87.721361,60624.0,6.0,500.0,114 North Hamlin Ave,2006-10-12T07:00:00.000Z,15500.0,North Bound: 8200 / South Bound: 7300,0.9208944763870969
159,300 S MICHIGAN AVE,608,2/5/2018,4/27/2018,82,7.414634146,41.87815,-87.624729,60604.0,25.0,500.0,624 South Michigan Ave,2006-09-26T07:00:00.000Z,33100.0,North Bound: 16400 / South Bound: 16700,0.44801414779456195
160,3000 W CHICAGO AVENUE,4966,3/1/2014,4/27/2018,1519,3.26925609,41.895623799999996,-87.70228459999998,60622.0,9.0,1000.0,2650 West Chicago Ave,2006-10-18T07:00:00.000Z,18800.0,East Bound: 8900 / West Bound: 9900,0.34779320106382977
161,3034 W FOSTER,24108,3/1/2014,4/27/2018,1519,15.87096774,41.9765402,-87.70552029999998,60625.0,7.0,1000.0,2671 West Foster Ave,2006-08-15T07:00:00.000Z,23700.0,East Bound: 11200 / West Bound: 12500,1.3393221721518986
162,3047 W JACKSON BLVD,22616,4/30/2014,4/27/2018,1459,15.5010281,41.877128000000006,-87.70291999999998,60612.0,14.0,1000.0,3434 West Jackson Blvd,2006-10-18T07:00:00.000Z,10200.0,East Bound: 4300 / West Bound: 5900,3.0394172745098036
163,3100 S ARCHER AVENUE,1111,3/1/2014,3/5/2015,370,3.002702703,41.8376995,-87.6657959,60608.0,3.0,500.0,3247 South Archer Ave,2006-03-08T08:00:00.000Z,15100.0,North Bound: 8200 / South Bound: 6900,0.39770896728476823
164,3100 S ASHLAND AVENUE,1665,3/1/2014,3/5/2015,370,4.5,41.8370889,-87.66594889999998,60608.0,3.0,500.0,3229 South Ashland Ave,2006-08-24T07:00:00.000Z,40900.0,North Bound: 22100 / South Bound: 18800,0.22004889975550124
165,3100 S CALIFORNIA,978,3/5/2014,3/5/2015,366,2.672131148,41.8371532,-87.69523269999998,60608.0,4.0,500.0,3110 South California Ave,2006-08-17T07:00:00.000Z,30800.0,North Bound: 15900 / South Bound: 14900,0.17351500961038963
166,3100 S DR MARTIN L KING,14612,3/1/2014,4/27/2018,1519,9.619486504,41.838041700000005,-87.6177943,60616.0,4.0,500.0,3030 South Dr Martin Luther King Jr Dr,2006-03-14T08:00:00.000Z,19900.0,North Bound: 10000 / South Bound: 9900,0.9667825632160804
167,3100 S KEDZIE AVENUE,5128,5/14/2014,4/27/2018,1445,3.548788927,41.8370969,-87.70490190000001,60623.0,3.0,500.0,3001 South Kedzie Ave,2006-08-10T07:00:00.000Z,25400.0,North Bound: 12500 / South Bound: 12900,0.27943219897637794
168,3100 W AUGUSTA,22229,3/1/2014,4/27/2018,1519,14.63396972,41.899207399999995,-87.7048413,60622.0,2.0,500.0,3049 West Augusta Blvd,2006-10-18T07:00:00.000Z,8500.0,East Bound: 4000 / West Bound: 4500,3.4432869929411765
169,3111 N ASHLAND AVE,2358,11/10/2014,4/27/2018,1265,1.864031621,41.9384372,-87.66820349999998,60657.0,2.0,500.0,2855 North Ashland Ave,2006-08-29T07:00:00.000Z,37400.0,North Bound: 19300 / South Bound: 18100,0.09968083534759359
170,3115 N NARRAGANSETT AVE,1429,4/23/2014,4/27/2018,1466,0.974761255,41.9369786,-87.78557550000001,60634.0,2.0,500.0,2890 North Narragansett Ave,2006-10-26T07:00:00.000Z,24900.0,North Bound: 10100 / South Bound: 14800,0.07829407670682731
171,3116 N NARRAGANSETT AVE,3627,4/23/2014,4/26/2018,1465,2.4757679180000003,41.937028399999996,-87.7861518,60634.0,2.0,500.0,2890 North Narragansett Ave,2006-10-26T07:00:00.000Z,24900.0,North Bound: 10100 / South Bound: 14800,0.19885686088353416
172,3130 N ASHLAND AVE,8201,11/10/2014,4/27/2018,1265,6.483003953,41.93905110000001,-87.668972,60657.0,10.0,1000.0,3625 North Ashland Ave,2006-08-29T07:00:00.000Z,32100.0,North Bound: 15400 / South Bound: 16700,0.4039254799376947
173,3137 W PETERSON,66348,3/1/2014,4/27/2018,1519,43.67873601,41.988951,-87.709563,60659.0,3.0,500.0,3318 West Peterson Ave,2006-08-22T07:00:00.000Z,38300.0,East Bound: 20300 / West Bound: 18000,2.2808739430809397
174,319 E ILLINOIS ST,2177,5/28/2014,10/15/2016,872,2.496559633,41.890764000000004,-87.61909899999998,60611.0,,,,,,,
175,3200 N CENTRAL AVENUE,1641,3/3/2014,4/27/2018,1517,1.081740277,41.93858549999999,-87.76650190000001,60634.0,4.0,1000.0,3501 North Central Ave,2006-10-26T07:00:00.000Z,27200.0,North Bound: 14000 / South Bound: 13200,0.07953972625
176,3200 N HARLEM AVE,4511,3/1/2014,4/27/2018,1519,2.969716919,41.93817,-87.80708299999998,60634.0,2.0,500.0,3250 North Harlem Ave,2006-10-25T07:00:00.000Z,28900.0,North Bound: 15200 / South Bound: 13700,0.20551674179930798
177,3200 N KEDZIE AVE,18805,4/5/2014,4/27/2018,1484,12.67183288,41.94022270000001,-87.7076852,60618.0,3.0,500.0,3235 North Kedzie Ave,2006-12-11T08:00:00.000Z,15000.0,North Bound: 6900 / South Bound: 8100,1.6895777173333335
178,3200 N KEDZIE AVENUE,1530,4/13/2014,4/26/2018,1475,1.037288136,41.94022270000001,-87.7076852,60618.0,3.0,500.0,3235 North Kedzie Ave,2006-12-11T08:00:00.000Z,15000.0,North Bound: 6900 / South Bound: 8100,0.1383050848
179,3200 N LAKESHORE DRIV,10195,3/1/2014,4/27/2018,1519,6.711652403,41.940655,-87.639882,60657.0,,,,,,,
180,3200 N PULASKI RD,2929,4/17/2014,4/27/2018,1472,1.989809783,41.9391889,-87.7273261,60641.0,7.0,1000.0,2827 North Pulaski Rd,2006-11-20T08:00:00.000Z,23900.0,North Bound: 11400 / South Bound: 12500,0.1665112789121339
181,3200 S ARCHER AVE,50365,12/23/2015,4/27/2018,857,58.76896149,41.836154799999996,-87.6689396,60608.0,2.0,500.0,3247 South Archer Ave,2006-03-08T08:00:00.000Z,15100.0,North Bound: 8200 / South Bound: 6900,7.783968409271523
182,3200 W 31ST STREET,3350,3/1/2014,4/27/2018,1519,2.205398288,41.8372258,-87.704853,60623.0,3.0,500.0,3252 West 31st St,2006-09-14T07:00:00.000Z,20600.0,East Bound: 9100 / West Bound: 11500,0.2141163386407767
183,3200 W 47TH ST,2703,3/1/2014,4/27/2018,1519,1.779460171,41.8081138,-87.7039973,60632.0,3.0,500.0,3016 West 47th St,2006-08-10T07:00:00.000Z,26300.0,East Bound: 12500 / West Bound: 13800,0.13532016509505704
184,3200 W 55TH STREET,2649,3/1/2014,4/27/2018,1519,1.743910467,41.7935421,-87.70374770000001,60632.0,78.0,4000.0,4630 West 55th St,2006-09-12T07:00:00.000Z,23300.0,East Bound: 12100 / West Bound: 11200,0.14969188557939914
185,3200 W 63RD ST,2847,3/1/2014,4/27/2018,1519,1.874259381,41.7791402,-87.703362,60629.0,7.0,1000.0,2939 West 63rd St,2006-08-15T07:00:00.000Z,22200.0,East Bound: 10500 / West Bound: 11700,0.16885219648648647
186,3200 W 71ST STREET,3207,3/1/2014,4/27/2018,1519,2.111257406,41.76436169999999,-87.70404189999998,60629.0,2.0,500.0,3249 West 71st St,2006-11-14T08:00:00.000Z,15600.0,East Bound: 7900 / West Bound: 7700,0.2706740264102564
187,3200 W 79TH ST,5433,3/1/2014,4/27/2018,1519,3.576695194,41.7498271,-87.70237360000002,60652.0,3.0,1000.0,2830 West 79th Street,2006-03-28T08:00:00.000Z,33300.0,East Bound: 20600 / West Bound: 12700,0.21481652816816815
188,3200 W ARMITAGE AVENUE,3078,3/1/2014,4/27/2018,1519,2.0263331140000003,41.9175496,-87.70723570000001,60647.0,1.0,500.0,3308 West Armitage Ave,2006-08-09T07:00:00.000Z,18200.0,East Bound: 10200 / West Bound: 8000,0.2226739685714286
189,3200 W BELMONT,2925,4/5/2014,4/27/2018,1484,1.971024259,41.9398073,-87.7088808,60618.0,3.0,500.0,3317 West Belmont Ave,2006-10-16T07:00:00.000Z,32700.0,East Bound: 14500 / West Bound: 18200,0.12055194244648318
190,3200 W IRVING PARK ROAD,9642,3/1/2014,5/31/2017,1188,8.116161616,41.9540086,-87.70813129999998,60618.0,1.0,500.0,3056 West Irving Park Rd,2006-10-16T07:00:00.000Z,47300.0,East Bound: 23400 / West Bound: 23900,0.34317808101479913
191,3212 W 55TH ST,691,2/25/2015,4/27/2018,1158,0.59671848,41.7935096,-87.70408429999998,60632.0,77.0,4000.0,4630 West 55th St,2006-09-12T07:00:00.000Z,23300.0,East Bound: 12100 / West Bound: 11200,0.0512204703862661
192,3216 W ADDISON ST,9439,3/1/2014,4/27/2018,1519,6.21395655,41.9468977,-87.7085621,60618.0,2.0,500.0,3023 West Addison Ave,2006-08-14T07:00:00.000Z,29800.0,East Bound: 15300 / West Bound: 14500,0.41704406375838926
193,3217 W 55TH ST,495,2/23/2015,4/27/2018,1160,0.426724138,41.7935071,-87.70417830000002,60632.0,77.0,4000.0,4630 West 55th St,2006-09-12T07:00:00.000Z,23300.0,East Bound: 12100 / West Bound: 11200,0.03662868137339055
194,3230 N MILWAUKEE AVE,7505,5/22/2014,4/17/2018,1427,5.259285214,41.939504,-87.725346,60618.0,3.0,500.0,3152 North Milwaukee Ave,2006-08-22T07:00:00.000Z,16800.0,North Bound: 7000 / South Bound: 9800,0.6261053826190476
195,324 E ILLINOIS ST,288,10/27/2016,4/27/2018,548,0.525547445,41.8913432,-87.6189235,60611.0,,,,,,,
196,324 S KEDZIE AVE,15660,4/30/2014,4/27/2018,1459,10.73337903,41.8769375,-87.7060006,60612.0,4.0,500.0,210 South Kedzie Ave,2006-10-09T07:00:00.000Z,15500.0,North Bound: 7500 / South Bound: 8000,1.3849521329032257
197,340 W UPPER WACKER DR,1463,3/5/2018,4/27/2018,54,27.09259259,41.8865667,-87.6362517,60654.0,172.0,2000.0,111 East Wacker(upper) Dr,2006-11-07T08:00:00.000Z,15200.0,East Bound: 8500 / West Bound: 6700,3.564814814473684
198,3400 W DIVERSEY AVENUE,2969,3/1/2014,4/27/2018,1519,1.954575379,41.9320098,-87.71224609999999,60647.0,13.0,1000.0,3809 West Diversey Ave,2006-08-10T07:00:00.000Z,17700.0,East Bound: 9300 / West Bound: 8400,0.2208559750282486
199,3400 W NORTH AVE,8721,3/1/2014,4/27/2018,1519,5.7412771560000015,41.9104195,-87.7118464,60647.0,3.0,500.0,3543 West North Ave,2006-10-18T07:00:00.000Z,39500.0,East Bound: 20200 / West Bound: 19300,0.2906975775189874
200,341 W 76th ST,1507,6/13/2014,4/27/2018,1415,1.065017668,41.756008,-87.63350600000001,60620.0,10.0,1000.0,718 West 76th Street,2006-03-28T08:00:00.000Z,15400.0,East Bound: 7800 / West Bound: 7600,0.13831398285714286
201,3450 W 71ST,22459,3/1/2014,4/27/2018,1519,14.78538512,41.7642997,-87.70849090000002,60629.0,1.0,500.0,3249 West 71st St,2006-11-14T08:00:00.000Z,15600.0,East Bound: 7900 / West Bound: 7700,1.8955621948717951
202,346 W 76th ST,3133,6/13/2014,4/27/2018,1415,2.214134276,41.756412100000006,-87.63372840000001,60620.0,9.0,1000.0,718 West 76th Street,2006-03-28T08:00:00.000Z,15400.0,East Bound: 7800 / West Bound: 7600,0.28754990597402597
203,3500 S WESTERN,8209,3/1/2014,4/27/2018,1519,5.404213297999999,41.830161700000005,-87.68519930000001,60609.0,2.0,500.0,3636 South Western Ave,2006-10-26T07:00:00.000Z,32200.0,North Bound: 15600 / South Bound: 16600,0.3356654222360248
204,3521 N WESTERN,13850,3/17/2014,4/27/2018,1503,9.214903526,41.945633,-87.68786220000001,60618.0,3.0,500.0,3643 North Western Ave,2006-08-31T07:00:00.000Z,45300.0,North Bound: 21600 / South Bound: 23700,0.4068390077704194
205,3534 N WESTERN,23294,3/17/2014,4/27/2018,1503,15.49833666,41.945547,-87.68827329999998,60618.0,4.0,500.0,3643 North Western Ave,2006-08-31T07:00:00.000Z,45300.0,North Bound: 21600 / South Bound: 23700,0.6842532741721854
206,3535 E 95TH ST,3539,8/13/2014,4/26/2018,1353,2.615668884,41.72266399999999,-87.537498,60617.0,3.0,500.0,3502 East 95th Street,2006-03-28T08:00:00.000Z,16800.0,East Bound: 8600 / West Bound: 8200,0.31138915285714286
207,3542 E 95TH ST,8642,8/13/2014,4/27/2018,1354,6.382570162,41.7231645,-87.5372567,60617.0,3.0,500.0,3502 East 95th Street,2006-03-28T08:00:00.000Z,16800.0,East Bound: 8600 / West Bound: 8200,0.7598297811904762
208,3600 N AUSTIN AVENUE,4355,3/2/2014,4/27/2018,1518,2.8689064560000004,41.94576610000001,-87.77648559999999,60634.0,2.0,500.0,3521 North Austin Ave,2006-10-25T07:00:00.000Z,21700.0,North Bound: 10600 / South Bound: 11100,0.2644153415668203
209,3600 N CENTRAL AVENUE,3383,3/1/2014,4/27/2018,1519,2.227123107,41.9459575,-87.76680089999998,60634.0,3.0,500.0,3501 North Central Ave,2006-10-26T07:00:00.000Z,27200.0,North Bound: 14000 / South Bound: 13200,0.16375905198529414
210,3600 N CICERO AVENUE,12434,3/1/2014,4/27/2018,1519,8.185648452999999,41.94612009999999,-87.7471247,60641.0,2.0,500.0,3647 North Cicero Ave,2006-10-11T07:00:00.000Z,38500.0,North Bound: 20700 / South Bound: 17800,0.425228491064935
211,3600 N ELSTON AVE,2539,3/1/2014,4/27/2018,1519,1.6714944040000002,41.946615200000004,-87.7088344,60618.0,29.0,2000.0,4050 North Elston Ave,2006-08-10T07:00:00.000Z,20200.0,North Bound: 9300 / South Bound: 10900,0.16549449544554456
212,3600 N HARLEM AVENUE,5561,3/1/2014,4/27/2018,1519,3.660961159,41.9453352,-87.8073673,60634.0,2.0,500.0,3731 North Harlem Ave,2006-10-25T07:00:00.000Z,32100.0,North Bound: 17500 / South Bound: 14600,0.22809726847352027
213,3600 N WESTERN AVENUE,8155,3/1/2014,4/27/2018,1519,5.368663594,41.946843799999996,-87.68852199999998,60618.0,3.0,500.0,3643 North Western Ave,2006-08-31T07:00:00.000Z,45300.0,North Bound: 21600 / South Bound: 23700,0.23702709024282562
214,3646 W MADISON,68560,3/1/2014,4/27/2018,1519,45.13495721,41.880849299999994,-87.7164897,60624.0,6.0,500.0,3433 West Madison St,2006-10-12T07:00:00.000Z,15600.0,East Bound: 7800 / West Bound: 7800,5.786532975641026
215,3655 W JACKSON,29036,3/1/2014,4/27/2018,1519,19.11520737,41.877213899999994,-87.7162132,60624.0,4.0,500.0,3434 West Jackson Blvd,2006-10-18T07:00:00.000Z,10200.0,East Bound: 4300 / West Bound: 5900,3.7480798764705883
